id,exercise,category,primary target,file name to use
13,Box squat,Legs · quads,"Quadriceps, glutes",box-squat.png
19,Lateral lunge / Cossack squat,Legs · quads,"Adductors, glutes, quadriceps",lateral-lunge-cossack-squat.png
37,Bodyweight glute bridge,Glutes,"Glutes, hamstrings",bodyweight-glute-bridge.png
67,Decline dumbbell press,Chest,"Lower chest, triceps",decline-dumbbell-press.png
84,Chest dip,Chest,"Lower chest, triceps",chest-dip.png
132,Incline dumbbell curl,Biceps,Biceps,incline-dumbbell-curl.png
133,Standing dumbbell curl,Biceps,Biceps,standing-dumbbell-curl.png
135,Cable curl,Biceps,Biceps,cable-curl.png
185,Barbell hold,Grip and forearms,"Grip, forearms, traps",barbell-hold.png
1001,Pull-up negative,Back,"Lats, upper back, biceps",pull-up-negative.png
1002,Bent-over dumbbell row,Back,"Lats, upper back",bent-over-dumbbell-row.png
1003,Kneeling lat stretch,Mobility / recovery,"Lats, upper back",kneeling-lat-stretch.png
1004,Knees-to-chest stretch,Mobility / recovery,"Lower back, glutes",knees-to-chest-stretch.png
1005,Lying spinal twist,Mobility / recovery,"Lower back, obliques, glutes",lying-spinal-twist.png
1006,Thread the needle,Mobility / recovery,"Upper back, rear delts, thoracic spine",thread-the-needle.png
1007,Doorway chest stretch,Mobility / recovery,"Chest, front delts",doorway-chest-stretch.png
1008,Cross-body shoulder stretch,Mobility / recovery,"Rear delts, upper back",cross-body-shoulder-stretch.png
1009,Overhead triceps stretch,Mobility / recovery,"Triceps, lats",overhead-triceps-stretch.png
1010,Biceps wall stretch,Mobility / recovery,"Biceps, chest, front delts",biceps-wall-stretch.png
1011,Wrist flexor stretch,Mobility / recovery,Forearm flexors,wrist-flexor-stretch.png
1012,Wrist extensor stretch,Mobility / recovery,Forearm extensors,wrist-extensor-stretch.png
1013,Sleeper stretch,Mobility / recovery,"Rotator cuff, rear delts",sleeper-stretch.png
1014,Neck side stretch,Mobility / recovery,Upper trapezius,neck-side-stretch.png
1015,Couch stretch,Mobility / recovery,"Quadriceps, hip flexors",couch-stretch.png
1016,Seated forward fold,Mobility / recovery,"Hamstrings, lower back",seated-forward-fold.png
1017,Kneeling shin stretch,Mobility / recovery,Tibialis anterior,kneeling-shin-stretch.png
1018,Figure-four stretch,Mobility / recovery,"Glutes, hip rotators",figure-four-stretch.png
1019,Pigeon pose,Mobility / recovery,"Glutes, hip rotators, hip flexors",pigeon-pose.png
1020,90/90 hip stretch,Mobility / recovery,"Glutes, hip rotators, adductors",90-90-hip-stretch.png
1021,Frog stretch,Mobility / recovery,Adductors,frog-stretch.png
1022,Cobra stretch,Mobility / recovery,"Abs, hip flexors",cobra-stretch.png
1023,Standing side bend stretch,Mobility / recovery,"Obliques, lats",standing-side-bend-stretch.png
1024,Deep breathing,Mobility / recovery,"Recovery, diaphragm",deep-breathing.png
1025,Inchworm,Mobility / recovery,"Hamstrings, shoulders, core",inchworm.png
1026,Scapular pull-up,Back,"Lower traps, lats",scapular-pull-up.png
1027,Hip circles,Mobility / recovery,"Hips, glutes",hip-circles.png
1028,Foam roll upper back,Mobility / recovery,"Upper back, thoracic spine",foam-roll-upper-back.png
1029,Foam roll hamstrings,Mobility / recovery,Hamstrings,foam-roll-hamstrings.png
